title,authors,abstract,keywords,year,venue,pub_type,first_author_country
GAIIS '25: Proceedings of the 2025 2nd International Conference on Generative Artificial Intelligence and Information Security,"Ots, Karl","Summary <p>Enterprises need to be aware of the new risks that come with using generative artificial intelligence (AI) and tackle them proactively to reap the benefits. Generative AI introduces completely new risk categories and changes our established risk management approach. Generative AI introduces a new risk category of intentional malicious usage of generative AI. Alongside the positive productivity impact of generative AI usage for approved use cases, threat actor productivity is also growing at an unprecedented rate. The AI usage layer covers user accountability and data governance for generative AI application. Users need to be aware of the security, privacy, and ethical implications of using generative AI, as well as the potential threats of AI&#x2010;based attacks. The AI application security layer focuses on application design and safety systems. The AI application layer is the interface between the user and the generative AI.</p>",Artificial intelligence; Context modeling; Data models; Generative AI; Grounding; Probabilistic logic; Security; Training data; Tuning; Virtual assistants,2025,Securing Microsoft Azure OpenAI,proceedings,UNK
Software Engineering Research in a World with Generative Artificial Intelligence,"Rinard, Martin",Generative artificial intelligence systems such as large language models (LLMs) exhibit powerful capabilities that many see as the kind of flexible and adaptive intelligence that previously only humans could exhibit. I address directions and implications of LLMs for software engineering research.,Adaptation models; Adaptive systems; Generative AI; Generative Artificial Intelligence; Large Language Models; Software; Software Engineering; Software engineering; generative artificial intelligence; large language models; software engineering,2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,inproceedings,PRT
Opportunities and Challenges of Generative Artificial Intelligence in Facilitating Learning for Chinese University Students,"Hu, Haizhou and Jiang, Congfeng","With the emergence of Artificial Intelligence in General Chat (AIGC), represented by ChatGPT, collaborative learning tasks between university students and machines have become a new norm in higher education. Simply prohibiting this new wave of technology cannot fundamentally address its challenges. This article presents the results of a survey investigating Chinese university students' perspectives on generative artificial intelligence technologies, such as ChatGPT, in supporting their learning. It analyzes the opportunities and challenges presented by this technology. Universities need to adapt to this transformation by altering the nature of student assignments and the methods of assessment. Additionally, they must effectively leverage the advantages of students conveniently acquiring knowledge through AIGC and the opportunity for personalized tutoring across various subjects. Striking the right balance between opportunities and challenges is crucial for creating a more productive and beneficial learning environment. Ultimately, this adaptation will better prepare education for the developments and changes in the era of artificial intelligence.",Adaptation models; Artificial intelligence; Cloud computing; Computational modeling; Edge computing; Programming; Task analysis; cloud-edge collaboration; edge computing; edge intelligence,2020,Proceedings of the 2023 International Conference on Information Education and Artificial Intelligence,inproceedings,CHN
Generative Artificial Intelligence Policies under the Microscope,"Nahar, Mahjabin and Lee, Sian and Guillen, Rebekah and Lee, Dongwon","Summary <p>Generative Artificial Intelligence (AI) is concerned with creating new data&#x2014;such as text, pictures, videos&#x2014;based on preexisting data. It involves devices and algorithms that learn from the massive volume of data they are provided, enabling them to continuously get better. Generative AI was initially made popular by ChatGPT, an AI chatbot. Apple plans to introduce an AI&#x2010;powered coding assistant in Xcode, thereby entering the AI&#x2010;assisted coding space and taking aim at Microsoft's GitHub Copilot. AI presents itself as a game&#x2010;changer for optimizing supply chain processes and to boost productivity. Specifically, AI can assist the supply chain challenges for business by doing the following: predictive analytics, optimization, automation, and real&#x2010;time visibility. This chapter explores some practical applications of AI in supply chain management for achieving business scalability: demand forecasting, inventory optimization, supplier management, and warehouse automation.</p>",Artificial intelligence; Business; Chatbots; Codes; Data models; Encoding; Generative AI; Internet; Optimization; Supply chains,2025,Commun. ACM,article,UNK
Social Dangers of Generative Artificial Intelligence: Review and Guidelines,"Yang, Alan and Yang, T. Andrew","The Internet of Things (IoT) has introduced a current and up to date global powered with the aid of networking producing diverse heterogeneous records for a very long time in so many fields and applications. In removing entire facts from those records, advance artificial intelligence (AI) technology, particularly deep learning (DL), has shown a success in facilitating records analytics, destiny prediction, and choice making. The combination of AI and the IoT has appreciably promoted the fast improvement of Artificial Intelligence-of-Things (AIoT) structures that examine and reply to outside stimuli extra intelligently without human intervention. However, it's far difficult or infeasible to method huge quantities of records in the cloud because of the unfavorable effect of records volume, velocity, and veracity and deadly transmission latency on communication infrastructures. This article conducts a survey of the internet of things and artificial intelligence orchestrated architecture for flexible artificial intelligence of things (AIoT) systems. It begins by explaining fundamental concept of the internet of things and artificial intelligence with this it explains the overall artificial intelligence of things architecture show and example of AIoT to illustrate how AI can be used in real world and summarize IoT and AI application.",Digital Governance; Generative AI; Regulations and Standards; Risks,2022,Proceedings of the 25th Annual International Conference on Digital Government Research,inproceedings,UNK
A Survey on Some Artificial Intelligence Learning Tools at the University of Petra,"Abdel-Rahem, Rami A. and Hadi, Wael and Al-Remawi, Mayyas and Aburub, Faisal and Jamal, Naser","This research explores the perspectives of 105 instructors from the University of Petra (UOP), specifically from the Faculties of Arts and Science (FAS) and Information Technology (FIT), regarding personalized learning (PL) and generative artificial intelligence (GAI) tools. The study examines instructors' views on the theoretical foundations of these technologies, their perceived need for training in the use of such tools, and their opinions on the benefits of PL in education. The primary objective is to gain insights into faculty members' attitudes toward integrating AI tools into the educational process at UOP. The findings from this survey are expected to inform strategies for enhancing AI adoption in education at UOP and other institutions. This investigation will aid the university in preparing for the emerging era of AI-driven education.",Artificial Intelligence; Artificial intelligence; Best practices; Computational intelligence; Generative AI; Information technology; Instructors Training; Learning (artificial intelligence); Personalized Learning; Stress; Surveys; Technological innovation; Training; University of Petra,2025,2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),inproceedings,UNK
Integrating Generative Artificial Intelligence in Learning Analytics: Insights and Implications From Recent Studies,"Wong, Billy T. M. and Li, Kam Cheong and Chau, Charlotte S. Y.","This paper presents a comprehensive review of studies on the application of generative artificial intelligence (AI) in learning analytics. The review encompasses 49 articles sourced from Scopus, spanning the years 2022 to 2024. The results reveal patterns of relevant publications based on regions of authors' affiliations, research methods, research objectives and issues, types of generative AI tools, and purposes of conducting learning analytics. The findings highlight potential directions for future research on the integration of generative AI into learning analytics to address limitations such as the lack of evaluation on the long-term impact on teaching and learning outcomes, ethical considerations, and education inclusivity.",AI; Collaboration; Diversity reception; Educational technology; Ethics; Focusing; Generative AI; Learning (artificial intelligence); Security; Socioeconomics; Systematic literature review; generative artificial intelligence; human-AI collaboration; learning analytics,2025,2025 International Symposium on Educational Technology (ISET),inproceedings,UNK
,"Hurbans, Rishal","Grokking Artificial Intelligence Algorithms is a fully-illustrated and interactive tutorial guide to the different approaches and algorithms that underpin AI. Written in simple language and with lots of visual references and hands-on examples, you'll learn the concepts, terminology, and theory you need to effectively incorporate AI algorithms into your applications. And to make sure you truly grok as you go, you'll use each algorithm in practice with creative coding exercises—including building a maze puzzle game, performing diamond data analysis, and even exploring drone material optimization.",ai; algebra; algorithms; artificial; calculus; data; intelligence; networks; neural; scientists,2020,Grokking Artificial Intelligence Algorithms,book,UNK
"Workshop: Educational Innovation Through Generative Artificial Intelligence: Tools, Opportunities, and Challenges","Morales-Chan, Miguel and Amado-Salvatierra, Hector R. and Hernandez-Rizzardini, Rocael","The integration of Artificial Intelligence (AI) into the field of education is an unprecedented trend with the potential to revolutionize teaching approaches and significantly improve the overall learning experience. This workshop offers an opportunity for a strategic implementation of generative artificial intelligence in higher education, demonstrating its capacity to substantially enhance the creation and customization of digital educational materials. It is essential for educators to possess the capacity to utilize generative artificial tools, specifically when it comes to developing prompts for Large Language Models (LLMs). In addition to fostering a more interactive learning environment, these LLMs are driving the transition to educational systems that are more autonomous and adaptable. An in-depth exploration of the pragmatic and ethical aspects of AI implementation is undertaken to equip educators with the necessary knowledge and skills to employ AI in a responsible manner, thereby cultivating an engaging and equitable learning environment.",ChatGPT; Conferences; Engineering education; Ethical aspects; Generative AI; LLMs; Learning (artificial intelligence); Market research; Technological innovation; artificial intelligence; generative AI tools,2024,2024 IEEE World Engineering Education Conference (EDUNINE),inproceedings,UNK
"Artificial Intelligence in Education – Emerging Trends, Thematic Analysis & Application in Lifelong Learning","Misra, Vijay Prakash and Mishra, Punit Kumar and Sharma, Adya","There has been a significant rise in the literature published on Artificial Intelligence in Education in recent times. The scope of the literature is vast, with the emergence of some niche themes that have relevance in lifelong learning. This study aims to analyse the emerging trends and themes in Artificial Intelligence in Education and how they may be useful in lifelong learning. The authors use 280 published pieces of literature from the SCOPUS database from 1976 to 2023 and the quantitative analysis tool Biblioshiny to analyse the data collected. The study shows a sudden surge in the literature on Artificial Intelligence in Education in 2016 and a continued rise since 2020. The study shows six clear clusters that emerge: Artificial Intelligence, Artificial Intelligence in Education, Explartificial Intelligencenable Artificial Intelligence, Artificial Intelligence Literacy, Teachers and Education Technology. Of these, Explartificial Intelligencenable Artificial Intelligence and Education Technology are niche. Artificial Intelligence Literacy and Teachers are emerging or declining themes. ChatGPT and learning clusters have the potential to become motor themes. Artificial Intelligence in Education has very well-developed basic themes. Artificial Intelligence is the emerging motor theme. The trend topics are also evolving at a very fast pace, given the rate of development in AI. The current trend topics include – Chat GPT, Generative Artificial Intelligence, and Ethics. Finally, the study develops a model to show how AI could be useful and an enabler in lifelong learning.",Artificial Intelligence; Artificial Intelligence in Education; Biblioshiny; Databases; Education; Ethics; Generative AI; Learning (artificial intelligence); Lifelong Learning; Market research; Statistical analysis; Thematic Analysis; Trends Analysis/ Emerging Trends,2023,2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),inproceedings,UNK
Engineers' Perspectives on the Use of Generative Artificial Intelligence Tools in the Workplace,"Joskowicz, Jose and Slomovitz, Daniel","The integration of artificial intelligence (AI) into the workplace requires commitment not only from the leadership of company directors but, equally important, from the engineers responsible for its implementation. This article presents a survey on perceptions concerning the utilization of AI tools in engineering environments. It was focused on engineers and students in the areas of electricity, electronics, and computing. The questionnaire covered demographic information, AI knowledge level, preferred tools, primary applications, perceived impact, and attitudes toward labor substitution. With the endorsement of the IEEE Uruguay Section and IEEE Region 9, the survey was distributed via email to a diverse group of potential participants, in several countries, including all IEEE members in Region 9. There were 375 replies to the survey, from 20 different countries in the Americas.",AI tools; Artificial intelligence; Chatbots; Companies; Employment; IEEE Regions; IEEE member; Surveys; Technological innovation; artificial intelligence (AI); future impact; generative,2024,IEEE Engineering Management Review,article,UNK
Using Artificial Intelligence for Generative Design Through a Software Tool in a Mechatronic Course,"Morano-Okuno, H. R. and Sandoval-Benitez, G.","Nowadays, the number of Artificial Intelligence (AI) applications has significantly increased, such as in the case of the design of mechanical components and aeronautical structures, to name a few. The above is done via Generative Design founded on AI algorithms. Diverse software applications include these programmed algorithms, and menus and dialog boxes permit users to execute them quickly. This work was developed during a course for mechatronic engineering students in the sixth semester. The objectives were 1) to explore a Generative Design software application based on AI, 2) to determine the type of boundary conditions that must be specified to produce the Generative Design of components using AI algorithms, and 3) to know the perception of students when using this type of computational tools in their course. Results show that the higher the boundary conditions, the greater the computational resources required to generate the component design. Another finding indicates that students are interested in these computational tools for solving class exercises and continue to use them as didactic resources.",Application software; Artificial intelligence; Boundary conditions; Codes; Conferences; Education; Engineering students; Mechatronics; Software algorithms; Software tools; artificial intelligence applications; educational innovation; generative design; higher education; professional education; tec21 model,2024,2024 6th International Workshop on Artificial Intelligence and Education (WAIE),inproceedings,UNK
The Application of Artificial Intelligence in Data Preprocessing,"Li, Chen","This study is based on the application of a real-measured data preprocessing method using data augmentation techniques. In response to the scarcity of sample data in the fields of construction and transportation, this paper proposes a data augmentation method based on the conditional generative adversarial network (CGAN). This method can learn the latent distribution of original data through a neural network and generate virtual data based on this distribution and specific conditional information, thereby meeting the training requirements of complex predictive models. Experimental validation was conducted on two data augmentation methods, introducing data augmentation tools from image recognition into the rectangular data in the construction and transportation fields for experimental analysis. The research results indicate that this data augmentation method can improve the accuracy and reliability of predictive models.",Accuracy; Data augmentation; Data models; Data preprocessing; Generative adversarial networks; Learning (artificial intelligence); Neural networks; Predictive models; Probability distribution; Transportation; artificial intelligence; data augmentation; data preprocessing; generative adversarial networks,2024,"2024 5th International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",inproceedings,UNK
Revitalizing Historical Paintings through Artificial Intelligence,"Leong, Wai Yie","This paper explores the innovative application of artificial intelligence (AI) in the revitalization of historical paintings, addressing the challenges of traditional restoration and enhancing preservation techniques. By leveraging advanced AI models, such as Generative Adversarial Networks (GANs), style transfer, and inpainting algorithms, this research demonstrates how machine learning can reconstruct, enhance, and restore artworks with remarkable detail and accuracy. Utilizing datasets of historical paintings, AI systems are trained to reproduce textures, restore faded colors, and even repair damaged sections, maintaining the authenticity of original masterpieces. Quantitative analyses, including image quality metrics like PSNR (Peak Signal-to-Noise Ratio) and SSIM (Structural Similarity Index), are conducted to compare AI-restored paintings with manually restored versions. Results indicate that AI-driven methods achieve high fidelity in texture and color restoration, offering a cost-effective and scalable solution for cultural preservation. The study concludes with a discussion on the potential applications of AI in museums and digital archives, emphasizing AI’s transformative role in art conservation. Future research could extend these findings by addressing ethical considerations and collaborating closely with art historians to further refine AI’s role in cultural heritage.",Accuracy; Art; Artificial intelligence; Artificial intelligence (AI); Cultural differences; Ethics; Generative Adversarial Networks (GANs); Generative adversarial networks; Image color analysis; Image restoration; PSNR; Painting; historical painting; innovation process,2025,"2025 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)",inproceedings,UNK
IEEE Guide for an Architectural Framework for Explainable Artificial Intelligence,,"A new wave of artificial intelligence applications that offer extensive benefits to our daily lives has been led to by dramatic success in machine learning. The loss of explainability during this transition, however, means vulnerability to vicious data, poor model structure design, and suspicion of stakeholders and the general public--all with a range of legal implications. The study of explainable AI (XAI), which is an active research field that aims to make AI systems results more understandable to humans, has been called for by this dilemma. This is a field with great hopes for improving the trust and transparency of AI-based systems and is considered a necessary route for AI to move forward. A technological blueprint for building, deploying, and managing machine learning models, while meeting the requirements of transparent and trustworthy AI by adopting a variety of XAI methodologies, is provided by this guide. It defines the architectural framework and application guidelines for explainable AI, including: description and definition of XAI; the types of XAI methods and the application scenarios to which each type applies; and performance evaluation of XAI.",AI; Artificial intelligence; Explainable AI; IEEE 2894™; IEEE Standards; Machine learning; XAI; architectural framework; artificial intelligence; explainable AI; explainable artificial intelligence; machine learning,2024,IEEE Std 2894-2024,article,UNK
Research on Clothing Sketch Conversion Based on Generative Adversarial Networks,"Lin, Haofa and Hu, Xinrong","The image conversion of clothing sketches has enormous application value in fields such as visual editing, clothing design, and human-computer interaction. At present, most of the objects converted from sketches are relatively simple shapes, such as faces, human postures, animal postures, shoes, and bags. At present, sketch conversion-based work is difficult to handle images with complex texture structures, making it challenging to solve the task of image conversion for clothing sketches. Additionally, the lack of clothing datasets is also a difficult problem to solve. In order to solve the above problems, this paper proposes using an edge detection algorithm to generate clothing simulation sketches in reverse, solving the problem of missing clothing sketch datasets. Then, combined with generative adversarial networks in the field of artificial intelligence, the Cloth Sketch GAN (CSG) network framework is proposed. It improves the generator and discriminator on the basis of the pix2pix network, and enhances the image generation effect by adding an attention module in the generator of the U-Net network structure. Two scales of discriminators are used to discriminate the images separately, and multiple layers of feature extraction are introduced based on the two scales of discriminators. The design of the feature matching loss function and perception loss function is added to make the generated images more realistic and clear, thus completing the conversion from clothing sketch to clothing image. Applied research. Finally, experiments were conducted on the clothing dataset constructed in this article, and the results showed that Cloth Sketch GAN had a significant improvement in the performance of generating clothing images. Moreover, with the improved network proposed in this article, the task of converting clothing sketches to real clothing images can be effectively accomplished on the clothing dataset.",Animals; Artificial intelligence; Clothing; Faces; Feature extraction; Footwear; Generative adversarial networks; Generators; Image edge detection; Image synthesis; artificial intelligence; clothing sketch; generative adversarial networks; image conversion,2025,"2025 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",inproceedings,UNK
